Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
EAST BRIDGEWATER ,RDP Payment ,15400,2021.0,"(42.0334341, -70.9592096)",42.0334341,-70.9592096
EAST BROOKFIELD ,Small-Scale Payment ,1000,2021.0,"(42.2266927, -72.046446)",42.2266927,-72.046446
EAST LONGMEADOW ,RDP Payment ,3500,2021.0,"(42.0645396, -72.5125863)",42.0645396,-72.5125863
EASTHAM ,RDP Payment ,17600,2021.0,"(41.8299634, -69.97403609999999)",41.8299634,-69.97403609999999
EGREMONT ,RDP Payment ,7200,2021.0,"(42.1777247, -73.4415929)",42.1777247,-73.4415929
ERVING ,RDP Payment ,3850,2021.0,"(42.6000863, -72.3981416)",42.6000863,-72.3981416
FAIRHAVEN ,RDP Payment ,2800,2021.0,"(41.6376043, -70.90364869999999)",41.6376043,-70.90364869999999
FALL RIVER ,RDP Payment ,11000,2021.0,"(41.7014912, -71.1550451)",41.7014912,-71.1550451
FALMOUTH ,RDP Payment ,40000,2021.0,"(41.5532208, -70.60858859999999)",41.5532208,-70.60858859999999
FCSWMD ,RDP Payment ,42000,2021.0,"(42.5874387, -72.60486759999999)",42.5874387,-72.60486759999999
FITCHBURG ,Small-Scale Payment ,1500,2021.0,"(42.5834228, -71.8022955)",42.5834228,-71.8022955
FLORIDA ,RDP Payment ,36000,2021.0,"(42.66675, -73.01121169999999)",42.66675,-73.01121169999999
FRAMINGHAM ,RDP Payment ,3500,2021.0,"(42.279286, -71.4161565)",42.279286,-71.4161565
FRANKLIN ,RDP Payment ,35000,2021.0,"(42.0834313, -71.396725)",42.0834313,-71.396725
FREETOWN ,RDP Payment ,25200,2021.0,"(41.7619708, -71.014118)",41.7619708,-71.014118
GARDNER ,RDP Payment ,7800,2021.0,"(42.5750883, -71.998133)",42.5750883,-71.998133
GILL ,RDP Payment ,15400,2021.0,"(42.6408105, -72.4996367)",42.6408105,-72.4996367
GLOUCESTER ,RDP Payment ,4200,2021.0,"(42.6159285, -70.6619888)",42.6159285,-70.6619888
GNBRRMD ,Small-Scale Payment ,1500,2021.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
GOSHEN ,Small-Scale Payment ,2000,2021.0,"(42.4407187, -72.7993986)",42.4407187,-72.7993986
GRAFTON ,RDP Payment ,4900,2021.0,"(42.2070391, -71.6856236)",42.2070391,-71.6856236
GRANVILLE ,RDP Payment ,8800,2021.0,"(42.09965450000001, -72.92243289999999)",42.09965450000001,-72.92243289999999
GREENFIELD ,RDP Payment ,4900,2021.0,"(42.587915, -72.5994104)",42.587915,-72.5994104
GROTON ,RDP Payment ,15400,2021.0,"(42.6088719, -71.57211629999999)",42.6088719,-71.57211629999999
HADLEY ,RDP Payment ,5950,2021.0,"(42.3417565, -72.58842220000001)",42.3417565,-72.58842220000001
HALIFAX ,RDP Payment ,2100,2021.0,"(41.99121299999999, -70.86198499999999)",41.99121299999999,-70.86198499999999
HAMILTON ,RDP Payment ,6600,2021.0,"(42.63620520000001, -70.8431049)",42.63620520000001,-70.8431049
HANCOCK ,RDP Payment ,7200,2021.0,"(42.543138, -73.32371820000002)",42.543138,-73.32371820000002
HANSON ,RDP Payment ,3500,2021.0,"(42.0655193, -70.8663632)",42.0655193,-70.8663632
HARVARD ,RDP Payment ,9000,2021.0,"(42.5000919, -71.5828444)",42.5000919,-71.5828444
HARWICH ,RDP Payment ,6650,2021.0,"(41.6716498, -70.0622231)",41.6716498,-70.0622231
HAVERHILL ,RDP Payment ,9900,2021.0,"(42.7762015, -71.0772796)",42.7762015,-71.0772796
HAWLEY ,RDP Payment ,49000,2021.0,"(42.605083, -72.9132446)",42.605083,-72.9132446
HEATH ,Small-Scale Payment ,500,2021.0,"(42.673417, -72.82176179999999)",42.673417,-72.82176179999999
HINGHAM ,RDP Payment ,4200,2021.0,"(42.2418172, -70.889759)",42.2418172,-70.889759
HINSDALE ,RDP Payment ,16900,2021.0,"(42.4386967, -73.1253799)",42.4386967,-73.1253799
HOLDEN ,RDP Payment ,4900,2021.0,"(42.3517585, -71.8634062)",42.3517585,-71.8634062
HOLLISTON ,RDP Payment ,9900,2021.0,"(42.20009659999999, -71.4245049)",42.20009659999999,-71.4245049
HOLYOKE ,RDP Payment ,6600,2021.0,"(42.2042586, -72.6162009)",42.2042586,-72.6162009
HRMC ,RDP Payment ,14400,2021.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
HUDSON ,Small-Scale Payment ,1000,2021.0,"(42.3913641, -71.5697117)",42.3913641,-71.5697117
HULL ,RDP Payment ,4900,2021.0,"(42.3020647, -70.9078346)",42.3020647,-70.9078346
HUNTINGTON ,RDP Payment ,3150,2021.0,"(42.2335218, -72.8796017)",42.2335218,-72.8796017
IPSWICH ,RDP Payment ,4550,2021.0,"(42.6800905, -70.8375707)",42.6800905,-70.8375707
KINGSTON ,RDP Payment ,19800,2021.0,"(41.9924498, -70.72647909999999)",41.9924498,-70.72647909999999
LAKEVILLE ,RDP Payment ,8400,2021.0,"(41.8459169, -70.9495226)",41.8459169,-70.9495226
LANESBOROUGH ,RDP Payment ,4200,2021.0,"(42.5173058, -73.2281596)",42.5173058,-73.2281596
LAWRENCE ,Small-Scale Payment ,500,2021.0,"(42.7070354, -71.1631137)",42.7070354,-71.1631137
LEE ,RDP Payment ,35000,2021.0,"(42.3041694, -73.2487144)",42.3041694,-73.2487144
LEICESTER ,Small-Scale Payment ,750,2021.0,"(42.245926, -71.90868429999999)",42.245926,-71.90868429999999
LEVERETT ,Small-Scale Payment ,1000,2021.0,"(42.4519581, -72.5011335)",42.4519581,-72.5011335
LEXINGTON ,RDP Payment ,6300,2021.0,"(42.4473497, -71.2271531)",42.4473497,-71.2271531
LINCOLN ,RDP Payment ,18000,2021.0,"(42.4259283, -71.3039469)",42.4259283,-71.3039469
LITTLETON ,RDP Payment ,3150,2021.0,"(42.5372893, -71.5128022)",42.5372893,-71.5128022
LONGMEADOW ,RDP Payment ,5250,2021.0,"(42.0501022, -72.5828642)",42.0501022,-72.5828642
LOWELL ,RDP Payment ,20900,2021.0,"(42.6334247, -71.31617179999999)",42.6334247,-71.31617179999999
LUDLOW ,RDP Payment ,68000,2021.0,"(42.1600936, -72.47591899999999)",42.1600936,-72.47591899999999
LUNENBURG ,RDP Payment ,11000,2021.0,"(42.5971299, -71.7416301)",42.5971299,-71.7416301
LYNN ,RDP Payment ,6600,2021.0,"(42.46676300000001, -70.9494938)",42.46676300000001,-70.9494938
LYNNFIELD ,RDP Payment ,48000,2021.0,"(42.53869, -71.0465638)",42.53869,-71.0465638
MALDEN ,Small-Scale Payment ,1000,2021.0,"(42.4250964, -71.066163)",42.4250964,-71.066163
MANCHESTER ,RDP Payment ,42000,2021.0,"(42.577834, -70.7675967)",42.577834,-70.7675967
MANSFIELD ,RDP Payment ,7800,2021.0,"(42.03345650000001, -71.2190578)",42.03345650000001,-71.2190578
MARBLEHEAD ,RDP Payment ,13200,2021.0,"(42.49995819999999, -70.8578024)",42.49995819999999,-70.8578024
MARLBOROUGH ,RDP Payment ,15600,2021.0,"(42.3459271, -71.5522874)",42.3459271,-71.5522874
MARSHFIELD ,RDP Payment ,18000,2021.0,"(42.0921969, -70.71092449999999)",42.0921969,-70.71092449999999
MASHPEE ,RDP Payment ,28800,2021.0,"(41.647872, -70.4819674)",41.647872,-70.4819674
MATTAPOISETT ,RDP Payment ,7200,2021.0,"(41.6616323, -70.81507420000001)",41.6616323,-70.81507420000001
MAYNARD ,RDP Payment ,5400,2021.0,"(42.4334903, -71.4495058)",42.4334903,-71.4495058
MEDFIELD ,RDP Payment ,4800,2021.0,"(42.185541, -71.3089507)",42.185541,-71.3089507
MEDFORD ,RDP Payment ,6000,2021.0,"(42.4184296, -71.1061639)",42.4184296,-71.1061639
MEDWAY ,Small-Scale Payment ,2000,2021.0,"(42.1417641, -71.3967256)",42.1417641,-71.3967256
MELROSE ,RDP Payment ,9600,2021.0,"(42.4547874, -71.06546999999999)",42.4547874,-71.06546999999999
METHUEN ,RDP Payment ,11700,2021.0,"(42.7262016, -71.1908924)",42.7262016,-71.1908924
MIDDLEBOROUGH ,RDP Payment ,30000,2021.0,"(41.8929942, -70.9107708)",41.8929942,-70.9107708
MIDDLEFIELD ,RDP Payment ,12100,2021.0,"(42.3484207, -73.01510110000001)",42.3484207,-73.01510110000001
MILFORD ,RDP Payment ,4200,2021.0,"(42.1398577, -71.5163049)",42.1398577,-71.5163049
MILLIS ,Small-Scale Payment ,1500,2021.0,"(42.1669661, -71.351738)",42.1669661,-71.351738
MILTON ,RDP Payment ,4200,2021.0,"(42.2495321, -71.0661653)",42.2495321,-71.0661653
MONROE ,RDP Payment ,11700,2021.0,"(42.7143925, -73.0051055)",42.7143925,-73.0051055
MONSON ,RDP Payment ,2800,2021.0,"(42.1042451, -72.3189519)",42.1042451,-72.3189519
MONTAGUE ,RDP Payment ,5400,2021.0,"(42.5355277, -72.5353437)",42.5355277,-72.5353437
MONTEREY ,RDP Payment ,9600,2021.0,"(42.1792563, -73.21205259999999)",42.1792563,-73.21205259999999
NANTUCKET ,RDP Payment ,3150,2021.0,"(41.28394, -70.0999891)",41.28394,-70.0999891
NATICK ,RDP Payment ,15600,2021.0,"(42.2775281, -71.3468091)",42.2775281,-71.3468091
NBSWMD ,RDP Payment ,23400,2021.0,"(42.624727, -73.1179679)",42.624727,-73.1179679
NEEDHAM ,Small-Scale Payment ,1500,2021.0,"(42.2809285, -71.23775479999999)",42.2809285,-71.23775479999999
NEW ASHFORD ,RDP Payment ,18700,2021.0,"(42.605082, -73.2395502)",42.605082,-73.2395502
NEW BEDFORD ,Small-Scale Payment ,500,2021.0,"(41.6362152, -70.93420499999999)",41.6362152,-70.93420499999999
NEW MARLBOROUGH ,RDP Payment ,97500,2021.0,"(42.1111825, -73.2529464)",42.1111825,-73.2529464
NEW SALEM ,Small-Scale Payment ,500,2021.0,"(42.50425509999999, -72.3320289)",42.50425509999999,-72.3320289
NEWBURYPORT ,RDP Payment ,4900,2021.0,"(42.8125913, -70.87727509999999)",42.8125913,-70.87727509999999
NEWTON ,RDP Payment ,18200,2021.0,"(42.3370413, -71.20922139999999)",42.3370413,-71.20922139999999
NORFOLK ,RDP Payment ,68000,2021.0,"(42.1195426, -71.3250563)",42.1195426,-71.3250563
NORTH ANDOVER ,RDP Payment ,4200,2021.0,"(42.69870239999999, -71.1350575)",42.69870239999999,-71.1350575
NORTH BROOKFIELD ,RDP Payment ,11700,2021.0,"(42.2749499, -72.0830789)",42.2749499,-72.0830789
NORTH READING ,RDP Payment ,4200,2021.0,"(42.5750939, -71.0786653)",42.5750939,-71.0786653
NORTHAMPTON ,Small-Scale Payment ,1250,2021.0,"(42.3250896, -72.64120129999999)",42.3250896,-72.64120129999999
NORTHBOROUGH ,RDP Payment ,10800,2021.0,"(42.31980859999999, -71.6423829)",42.31980859999999,-71.6423829
NORTHFIELD ,RDP Payment ,7800,2021.0,"(42.6959093, -72.4528885)",42.6959093,-72.4528885
NORWELL ,RDP Payment ,5600,2021.0,"(42.1615157, -70.7927832)",42.1615157,-70.7927832
NORWOOD ,RDP Payment ,8400,2021.0,"(42.19439089999999, -71.19896949999999)",42.19439089999999,-71.19896949999999
OAK BLUFFS ,RDP Payment ,25200,2021.0,"(41.4542793, -70.5619724)",41.4542793,-70.5619724
OAKHAM ,Small-Scale Payment ,1000,2021.0,"(42.35271050000001, -72.0449783)",42.35271050000001,-72.0449783
ORANGE ,Small-Scale Payment ,500,2021.0,"(42.5886201, -72.30955639999999)",42.5886201,-72.30955639999999
ORLEANS ,RDP Payment ,6300,2021.0,"(41.78804179999999, -69.99165219999999)",41.78804179999999,-69.99165219999999
PALMER ,RDP Payment ,8400,2021.0,"(42.1596906, -72.3289472)",42.1596906,-72.3289472
PAXTON ,Small-Scale Payment ,1000,2021.0,"(42.3114889, -71.9278427)",42.3114889,-71.9278427
PEABODY ,RDP Payment ,2800,2021.0,"(42.5278731, -70.9286609)",42.5278731,-70.9286609
PEMBROKE ,RDP Payment ,27000,2021.0,"(42.0714925, -70.80919999999999)",42.0714925,-70.80919999999999
PEPPERELL ,RDP Payment ,16500,2021.0,"(42.6662056, -71.5883849)",42.6662056,-71.5883849
PERU ,RDP Payment ,3500,2021.0,"(42.4381417, -73.0459339)",42.4381417,-73.0459339
PETERSHAM ,RDP Payment ,3850,2021.0,"(42.4837752, -72.186669)",42.4837752,-72.186669
PHILLIPSTON ,RDP Payment ,3150,2021.0,"(42.5486993, -72.1328582)",42.5486993,-72.1328582
PITTSFIELD ,RDP Payment ,4550,2021.0,"(42.4500845, -73.2453824)",42.4500845,-73.2453824
PLAINFIELD ,RDP Payment ,24000,2021.0,"(42.5153633, -72.9162075)",42.5153633,-72.9162075
PLAINVILLE ,RDP Payment ,4900,2021.0,"(42.0042655, -71.3328331)",42.0042655,-71.3328331
PLYMOUTH ,RDP Payment ,7800,2021.0,"(41.9584457, -70.6672621)",41.9584457,-70.6672621
PRINCETON ,RDP Payment ,7200,2021.0,"(42.4487019, -71.877296)",42.4487019,-71.877296
PROVINCETOWN ,RDP Payment ,2800,2021.0,"(42.0547136, -70.1846012)",42.0547136,-70.1846012
QUINCY ,RDP Payment ,9600,2021.0,"(42.2528772, -71.0022705)",42.2528772,-71.0022705
RANDOLPH ,RDP Payment ,45500,2021.0,"(42.1619739, -71.042551)",42.1619739,-71.042551
RAYNHAM ,Small-Scale Payment ,1500,2021.0,"(41.9487077, -71.0731162)",41.9487077,-71.0731162
READING ,RDP Payment ,3150,2021.0,"(42.5235564, -71.1029921)",42.5235564,-71.1029921
REVERE ,Small-Scale Payment ,1500,2021.0,"(42.4084302, -71.0119948)",42.4084302,-71.0119948
ROCHESTER ,RDP Payment ,28000,2021.0,"(41.7549658, -70.8452677)",41.7549658,-70.8452677
ROCKLAND ,RDP Payment ,3150,2021.0,"(42.1306563, -70.9161551)",42.1306563,-70.9161551
ROCKPORT ,RDP Payment ,19800,2021.0,"(42.6556505, -70.620363)",42.6556505,-70.620363
ROWE ,RDP Payment ,10200,2021.0,"(42.6934166, -72.899542)",42.6934166,-72.899542
ROYALSTON ,RDP Payment ,3150,2021.0,"(42.6775856, -72.18786039999999)",42.6775856,-72.18786039999999
RUSSELL ,RDP Payment ,4200,2021.0,"(42.189861, -72.8591256)",42.189861,-72.8591256
SALEM ,Small-Scale Payment ,500,2021.0,"(42.5197473, -70.8954626)",42.5197473,-70.8954626
SANDWICH ,RDP Payment ,49000,2021.0,"(41.75917829999999, -70.4937604)",41.75917829999999,-70.4937604
SAUGUS ,RDP Payment ,15400,2021.0,"(42.4651421, -71.0110473)",42.4651421,-71.0110473
SAVOY ,RDP Payment ,10400,2021.0,"(42.5667512, -73.0287112)",42.5667512,-73.0287112
SCITUATE ,RDP Payment ,4550,2021.0,"(42.195929, -70.7258633)",42.195929,-70.7258633
SEEKONK ,RDP Payment ,14300,2021.0,"(41.808434, -71.3369972)",41.808434,-71.3369972
SHARON ,RDP Payment ,9900,2021.0,"(42.1236849, -71.1789656)",42.1236849,-71.1789656
SHEFFIELD ,Small-Scale Payment ,1250,2021.0,"(42.1099885, -73.35514359999999)",42.1099885,-73.35514359999999
SHELBURNE ,Small-Scale Payment ,500,2021.0,"(42.5898074, -72.6884244)",42.5898074,-72.6884244
SHERBORN ,RDP Payment ,4900,2021.0,"(42.23898570000001, -71.3697813)",42.23898570000001,-71.3697813
SHIRLEY ,RDP Payment ,3850,2021.0,"(42.5448725, -71.648202)",42.5448725,-71.648202
SHREWSBURY ,RDP Payment ,2800,2021.0,"(42.2959267, -71.71284709999999)",42.2959267,-71.71284709999999
SHUTESBURY ,RDP Payment ,16200,2021.0,"(42.4564779, -72.4098077)",42.4564779,-72.4098077
SOMERSET ,RDP Payment ,2800,2021.0,"(41.7695425, -71.12861939999999)",41.7695425,-71.12861939999999
SOMERVILLE ,RDP Payment ,8800,2021.0,"(42.3875968, -71.0994968)",42.3875968,-71.0994968
SOUTH HADLEY ,RDP Payment ,36000,2021.0,"(42.2591729, -72.57479339999999)",42.2591729,-72.57479339999999
SOUTHAMPTON ,RDP Payment ,12100,2021.0,"(42.2292572, -72.7300929)",42.2292572,-72.7300929
SOUTHBRIDGE ,RDP Payment ,5600,2021.0,"(42.07496190000001, -72.03368859999999)",42.07496190000001,-72.03368859999999
SOUTHWICK ,RDP Payment ,11000,2021.0,"(42.0548167, -72.7703724)",42.0548167,-72.7703724
SPENCER ,RDP Payment ,5400,2021.0,"(42.2438416, -71.99511559999999)",42.2438416,-71.99511559999999
SPRINGFIELD ,RDP Payment ,2800,2021.0,"(42.1014831, -72.589811)",42.1014831,-72.589811
SSRC ,RDP Payment ,71500,2021.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
STERLING ,Small-Scale Payment ,2000,2021.0,"(42.4374156, -71.76062929999999)",42.4374156,-71.76062929999999
STONEHAM ,RDP Payment ,5400,2021.0,"(42.4816758, -71.1001891)",42.4816758,-71.1001891
STURBRIDGE ,RDP Payment ,8800,2021.0,"(42.1083244, -72.080789)",42.1083244,-72.080789
SUDBURY ,RDP Payment ,4900,2021.0,"(42.3834278, -71.4161725)",42.3834278,-71.4161725
SUNDERLAND ,RDP Payment ,4550,2021.0,"(42.4663727, -72.5795115)",42.4663727,-72.5795115
SUTTON ,Small-Scale Payment ,500,2021.0,"(42.1500353, -71.7632878)",42.1500353,-71.7632878
SWAMPSCOTT ,RDP Payment ,3500,2021.0,"(42.47094370000001, -70.91755619999999)",42.47094370000001,-70.91755619999999
SWANSEA ,RDP Payment ,11000,2021.0,"(41.748162, -71.1895617)",41.748162,-71.1895617
TAUNTON ,RDP Payment ,8800,2021.0,"(41.900101, -71.0897674)",41.900101,-71.0897674
TEWKSBURY ,RDP Payment ,30000,2021.0,"(42.6106478, -71.23422479999999)",42.6106478,-71.23422479999999
TISBURY ,Small-Scale Payment ,1500,2021.0,"(41.4558899, -70.6141097)",41.4558899,-70.6141097
TOPSFIELD ,RDP Payment ,4800,2021.0,"(42.6418275, -70.9504705)",42.6418275,-70.9504705
TOWNSEND ,RDP Payment ,7800,2021.0,"(42.66693069999999, -71.705804)",42.66693069999999,-71.705804
TRURO ,RDP Payment ,9600,2021.0,"(42.0031966, -70.053449)",42.0031966,-70.053449
TYNGSBOROUGH ,RDP Payment ,4550,2021.0,"(42.6766696, -71.4244224)",42.6766696,-71.4244224
UPTON ,RDP Payment ,6600,2021.0,"(42.1744878, -71.6022583)",42.1744878,-71.6022583
UXBRIDGE ,Small-Scale Payment ,750,2021.0,"(42.07724289999999, -71.6302532)",42.07724289999999,-71.6302532
WAKEFIELD ,RDP Payment ,3850,2021.0,"(42.5018307, -71.07504879999999)",42.5018307,-71.07504879999999
WALPOLE ,Small-Scale Payment ,1500,2021.0,"(42.1470361, -71.2520606)",42.1470361,-71.2520606
WALTHAM ,Small-Scale Payment ,1500,2021.0,"(42.3764852, -71.2356113)",42.3764852,-71.2356113
WAREHAM ,Small-Scale Payment ,2000,2021.0,"(41.7614511, -70.71973419999999)",41.7614511,-70.71973419999999
WARREN ,RDP Payment ,11700,2021.0,"(42.2125423, -72.19118499999999)",42.2125423,-72.19118499999999
WARWICK ,RDP Payment ,5250,2021.0,"(42.6820293, -72.33897429999999)",42.6820293,-72.33897429999999
WATERTOWN ,RDP Payment ,3150,2021.0,"(42.3709299, -71.1828321)",42.3709299,-71.1828321
WAYLAND ,RDP Payment ,18000,2021.0,"(42.3625953, -71.3614484)",42.3625953,-71.3614484
WELLESLEY ,RDP Payment ,5600,2021.0,"(42.296797, -71.29238769999999)",42.296797,-71.29238769999999
WELLFLEET ,RDP Payment ,11700,2021.0,"(41.93054679999999, -70.03097530000001)",41.93054679999999,-70.03097530000001
WENDELL ,RDP Payment ,11400,2021.0,"(42.5481852, -72.396722)",42.5481852,-72.396722
WENHAM ,RDP Payment ,5600,2021.0,"(42.604261, -70.8911612)",42.604261,-70.8911612
WEST BOYLSTON ,RDP Payment ,3500,2021.0,"(42.3667589, -71.78562699999999)",42.3667589,-71.78562699999999
WEST BRIDGEWATER ,RDP Payment ,8400,2021.0,"(42.0189894, -71.00782149999999)",42.0189894,-71.00782149999999
WEST SPRINGFIELD ,Small-Scale Payment ,750,2021.0,"(42.1070383, -72.6203675)",42.1070383,-72.6203675
WESTBOROUGH ,RDP Payment ,13000,2021.0,"(42.2694066, -71.6133569)",42.2694066,-71.6133569
WESTFIELD ,Small-Scale Payment ,1250,2021.0,"(42.1250929, -72.749538)",42.1250929,-72.749538
WESTFORD ,Small-Scale Payment ,1500,2021.0,"(42.5792583, -71.4378411)",42.5792583,-71.4378411
WESTHAMPTON ,Small-Scale Payment ,1250,2021.0,"(42.3028667, -72.7745382)",42.3028667,-72.7745382
WESTMINSTER ,RDP Payment ,5600,2021.0,"(42.5459227, -71.91063079999999)",42.5459227,-71.91063079999999
WESTON ,Small-Scale Payment ,750,2021.0,"(42.3667625, -71.3031132)",42.3667625,-71.3031132
WESTPORT ,RDP Payment ,3500,2021.0,"(41.5700183, -71.0735476)",41.5700183,-71.0735476
WEYMOUTH ,RDP Payment ,4550,2021.0,"(42.2180724, -70.94103559999999)",42.2180724,-70.94103559999999
WHATELY ,RDP Payment ,31500,2021.0,"(42.4398101, -72.6348118)",42.4398101,-72.6348118
WHITMAN ,RDP Payment ,5600,2021.0,"(42.0806564, -70.935599)",42.0806564,-70.935599
WILBRAHAM ,RDP Payment ,7200,2021.0,"(42.1237206, -72.431586)",42.1237206,-72.431586
WILLIAMSBURG ,RDP Payment ,2800,2021.0,"(42.3928305, -72.7300929)",42.3928305,-72.7300929
WILLIAMSTOWN ,RDP Payment ,4200,2021.0,"(42.71126330000001, -73.1994775)",42.71126330000001,-73.1994775
WINCHENDON ,RDP Payment ,4900,2021.0,"(42.6871009, -72.0439529)",42.6871009,-72.0439529
WINCHESTER ,RDP Payment ,4200,2021.0,"(42.452303, -71.1369959)",42.452303,-71.1369959
WINDSOR ,RDP Payment ,14300,2021.0,"(42.5090217, -73.0457124)",42.5090217,-73.0457124
WORCESTER ,RDP Payment ,4550,2021.0,"(42.2625932, -71.8022934)",42.2625932,-71.8022934
WORTHINGTON ,RDP Payment ,65000,2021.0,"(42.3973092, -72.9356536)",42.3973092,-72.9356536
WRENTHAM ,RDP Payment ,4900,2021.0,"(42.0667652, -71.3281114)",42.0667652,-71.3281114
YARMOUTH ,RDP Payment ,4800,2021.0,"(41.7056291, -70.2286681)",41.7056291,-70.2286681
Town of Abington ,Small-Scale Payment ,1250,2015.0,"(42.1048228, -70.9453218)",42.1048228,-70.9453218
Town of Acton ,Small-Scale Payment ,1250,2015.0,"(42.4850931, -71.43284)",42.4850931,-71.43284
Town of Amherst ,Small-Scale Payment ,1500,2015.0,"(42.3732216, -72.5198537)",42.3732216,-72.5198537
Town of Arlington ,Small-Scale Payment ,1500,2015.0,"(42.4153925, -71.1564729)",42.4153925,-71.1564729
Town of Ashby ,Small-Scale Payment ,500,2015.0,"(42.6784326, -71.8224237)",42.6784326,-71.8224237
Town of Ashfield ,Small-Scale Payment ,500,2015.0,"(42.5264745, -72.788426)",42.5264745,-72.788426
Town of Athol ,Small-Scale Payment ,1000,2015.0,"(42.59593290000001, -72.2267383)",42.59593290000001,-72.2267383
City of Attleboro ,Small-Scale Payment ,1500,2015.0,"(41.94454409999999, -71.2856082)",41.94454409999999,-71.2856082
Town of Ayer ,Small-Scale Payment ,750,2015.0,"(42.5594094, -71.5868461)",42.5594094,-71.5868461
Town of Barnstable ,Small-Scale Payment ,1500,2015.0,"(41.7003208, -70.3002024)",41.7003208,-70.3002024
Town of Barre ,Small-Scale Payment ,750,2015.0,"(42.422359, -72.104837)",42.422359,-72.104837
Town of Belchertown ,Small-Scale Payment ,1000,2015.0,"(42.2800443, -72.40348469999999)",42.2800443,-72.40348469999999
Town of Bernardston ,Small-Scale Payment ,500,2015.0,"(42.6710048, -72.5483277)",42.6710048,-72.5483277
Town of Blackstone ,Small-Scale Payment ,750,2015.0,"(42.0173361, -71.5334972)",42.0173361,-71.5334972
Town of Bolton ,Small-Scale Payment ,500,2015.0,"(42.433501, -71.6052362)",42.433501,-71.6052362
Town of Boxford ,Small-Scale Payment ,750,2015.0,"(42.6599138, -70.9971338)",42.6599138,-70.9971338
Town of Brewster ,Small-Scale Payment ,1000,2015.0,"(41.7609271, -70.0829663)",41.7609271,-70.0829663
City of Brockton ,Small-Scale Payment ,2000,2015.0,"(42.0834335, -71.0183787)",42.0834335,-71.0183787
Town of Brookline ,Small-Scale Payment ,2000,2015.0,"(42.33176419999999, -71.1211635)",42.33176419999999,-71.1211635
Town of Buckland ,Small-Scale Payment ,500,2015.0,"(42.6038667, -72.7415594)",42.6038667,-72.7415594
City of Cambridge ,Small-Scale Payment ,2000,2015.0,"(42.3736158, -71.10973349999999)",42.3736158,-71.10973349999999
Town of Charlemont ,Small-Scale Payment ,500,2015.0,"(42.627862, -72.86981829999999)",42.627862,-72.86981829999999
Town of Chatham ,Small-Scale Payment ,750,2015.0,"(41.6827266, -69.9615518)",41.6827266,-69.9615518
Town of Cheshire ,Small-Scale Payment ,500,2015.0,"(42.5619131, -73.1628065)",42.5619131,-73.1628065
Town of Chesterfield ,Small-Scale Payment ,500,2015.0,"(42.3917541, -72.8398172)",42.3917541,-72.8398172
City of Chicopee ,Small-Scale Payment ,2000,2015.0,"(42.1487043, -72.6078672)",42.1487043,-72.6078672
Town of Cohasset ,Small-Scale Payment ,750,2015.0,"(42.24176749999999, -70.8036544)",42.24176749999999,-70.8036544
Town of Colrain ,Small-Scale Payment ,500,2015.0,"(42.6738227, -72.70698569999999)",42.6738227,-72.70698569999999
Town of Concord ,Small-Scale Payment ,1250,2015.0,"(42.4603719, -71.3489484)",42.4603719,-71.3489484
Town of Cummington ,Small-Scale Payment ,500,2015.0,"(42.459188, -72.8913714)",42.459188,-72.8913714
Town of Dartmouth ,Small-Scale Payment ,1500,2015.0,"(41.6130323, -70.9704787)",41.6130323,-70.9704787
Town of Deerfield ,Small-Scale Payment ,750,2015.0,"(42.5445588, -72.6056435)",42.5445588,-72.6056435
Town of Dennis ,Small-Scale Payment ,1250,2015.0,"(41.7360225, -70.1944324)",41.7360225,-70.1944324
Town of Duxbury ,Small-Scale Payment ,1000,2015.0,"(42.0393842, -70.67170279999999)",42.0393842,-70.67170279999999
Town of East Longmeadow ,Small-Scale Payment ,1250,2015.0,"(42.0645396, -72.5125863)",42.0645396,-72.5125863
Town of Eastham ,Small-Scale Payment ,750,2015.0,"(41.8299634, -69.97403609999999)",41.8299634,-69.97403609999999
Town of Egremont ,Small-Scale Payment ,500,2015.0,"(42.1777247, -73.4415929)",42.1777247,-73.4415929
City of Everett ,Small-Scale Payment ,1500,2015.0,"(42.40843, -71.0536625)",42.40843,-71.0536625
City of Fall River ,Small-Scale Payment ,2000,2015.0,"(41.7014912, -71.1550451)",41.7014912,-71.1550451
City of Fitchburg ,Small-Scale Payment ,1500,2015.0,"(42.5834228, -71.8022955)",42.5834228,-71.8022955
Town of Freetown ,Small-Scale Payment ,750,2015.0,"(41.7619708, -71.014118)",41.7619708,-71.014118
City of Gardner ,Small-Scale Payment ,1250,2015.0,"(42.5750883, -71.998133)",42.5750883,-71.998133
Town of Gill ,Small-Scale Payment ,500,2015.0,"(42.6412196, -72.49972869999999)",42.6412196,-72.49972869999999
City of Gloucester ,Small-Scale Payment ,1500,2015.0,"(42.6159285, -70.6619888)",42.6159285,-70.6619888
Town of Goshen ,Small-Scale Payment ,500,2015.0,"(42.4407187, -72.7993986)",42.4407187,-72.7993986
Town of Grafton ,Small-Scale Payment ,1250,2015.0,"(42.2070391, -71.6856236)",42.2070391,-71.6856236
