Municipality,Description,Amount,Year,Coordinates,Latitude,Longitude
Town of North Attleborough ,RDP Payment ,11000,2015.0,"(41.9695516, -71.35654389999999)",41.9695516,-71.35654389999999
Town of North Brookfield ,RDP Payment ,2400,2015.0,"(42.2749499, -72.0830789)",42.2749499,-72.0830789
City of Northampton ,RDP Payment ,6000,2015.0,"(42.3250896, -72.64120129999999)",42.3250896,-72.64120129999999
Town of Northborough ,RDP Payment ,3200,2015.0,"(42.31980859999999, -71.6423829)",42.31980859999999,-71.6423829
Town of Northfield ,RDP Payment ,2000,2015.0,"(42.6959093, -72.4528885)",42.6959093,-72.4528885
Town of Norwell ,Small-Scale Payment ,1000,2015.0,"(42.1615157, -70.7927832)",42.1615157,-70.7927832
Town of Norwood ,RDP Payment ,10500,2015.0,"(42.19439089999999, -71.19896949999999)",42.19439089999999,-71.19896949999999
Town of Orange ,RDP Payment ,3000,2015.0,"(42.5886201, -72.30955639999999)",42.5886201,-72.30955639999999
Town of Otis ,Small-Scale Payment ,500,2015.0,"(42.1926855, -73.09343679999999)",42.1926855,-73.09343679999999
Town of Oxford ,Small-Scale Payment ,1000,2015.0,"(42.1170625, -71.8647538)",42.1170625,-71.8647538
Town of Paxton ,Small-Scale Payment ,500,2015.0,"(42.3115046, -71.92823229999999)",42.3115046,-71.92823229999999
Town of Peru ,Small-Scale Payment ,500,2015.0,"(42.43782160000001, -73.0444152)",42.43782160000001,-73.0444152
Town of Phillipston ,RDP Payment ,1200,2015.0,"(42.5486993, -72.1328582)",42.5486993,-72.1328582
Town of Plainfield ,RDP Payment ,1600,2015.0,"(42.5153633, -72.9162075)",42.5153633,-72.9162075
Town of Plymouth ,RDP Payment ,16500,2015.0,"(41.9584457, -70.6672621)",41.9584457,-70.6672621
Town of Princeton ,Small-Scale Payment ,500,2015.0,"(42.4487019, -71.877296)",42.4487019,-71.877296
Town of Provincetown ,RDP Payment ,2400,2015.0,"(42.0547136, -70.1846012)",42.0547136,-70.1846012
Town of Randolph ,Small-Scale Payment ,1500,2015.0,"(42.1619739, -71.042551)",42.1619739,-71.042551
Town of Reading ,Small-Scale Payment ,1250,2015.0,"(42.5235564, -71.1029921)",42.5235564,-71.1029921
Town of Rockland ,Small-Scale Payment ,1250,2015.0,"(42.1306563, -70.9161551)",42.1306563,-70.9161551
Town of Rockport ,RDP Payment ,2400,2015.0,"(42.6581052, -70.61563129999999)",42.6581052,-70.61563129999999
Town of Rowe ,Small-Scale Payment ,500,2015.0,"(42.6947641, -72.8984147)",42.6947641,-72.8984147
Town of Royalston ,RDP Payment ,1800,2015.0,"(42.6775856, -72.18786039999999)",42.6775856,-72.18786039999999
Town of Russell ,Small-Scale Payment ,500,2015.0,"(42.1899331, -72.85659199999999)",42.1899331,-72.85659199999999
City of Salem ,RDP Payment ,15000,2015.0,"(42.5197473, -70.8954626)",42.5197473,-70.8954626
Town of Sandwich ,RDP Payment ,4000,2015.0,"(41.75917829999999, -70.4937604)",41.75917829999999,-70.4937604
Town of Savoy ,Small-Scale Payment ,500,2015.0,"(42.5667512, -73.0287112)",42.5667512,-73.0287112
Town of Scituate ,RDP Payment ,10400,2015.0,"(42.1774732, -70.75004659999999)",42.1774732,-70.75004659999999
Town of Seekonk ,RDP Payment ,3200,2015.0,"(41.808434, -71.3369972)",41.808434,-71.3369972
Town of Sheffield ,Small-Scale Payment ,500,2015.0,"(42.1099885, -73.35514359999999)",42.1099885,-73.35514359999999
Town of Shelburne ,RDP Payment ,1600,2015.0,"(42.5898074, -72.6884244)",42.5898074,-72.6884244
Town of Sherborn ,RDP Payment ,1800,2015.0,"(42.23898570000001, -71.3697813)",42.23898570000001,-71.3697813
Town of Shirley ,RDP Payment ,2000,2015.0,"(42.5452419, -71.6415557)",42.5452419,-71.6415557
Town of Shrewsbury ,RDP Payment ,10500,2015.0,"(42.2959267, -71.71284709999999)",42.2959267,-71.71284709999999
Town of Shutesbury ,RDP Payment ,1200,2015.0,"(42.4564779, -72.4098077)",42.4564779,-72.4098077
Town of Somerset ,RDP Payment ,7200,2015.0,"(41.7510709, -71.1415249)",41.7510709,-71.1415249
City of Somerville ,RDP Payment ,24500,2015.0,"(42.3875968, -71.0994968)",42.3875968,-71.0994968
Town of South Hadley ,RDP Payment ,9600,2015.0,"(42.21494999999999, -72.5935765)",42.21494999999999,-72.5935765
Town of Southampton ,RDP Payment ,1800,2015.0,"(42.2292572, -72.7300929)",42.2292572,-72.7300929
Town of Southwick ,Small-Scale Payment ,750,2015.0,"(42.0529992, -72.77111839999999)",42.0529992,-72.77111839999999
Town of Spencer ,Small-Scale Payment ,1000,2015.0,"(42.244326, -71.9924655)",42.244326,-71.9924655
City of Springfield ,RDP Payment ,54000,2015.0,"(42.1014831, -72.589811)",42.1014831,-72.589811
South Shore Recycling Cooperative ,Small-Scale Payment ,2000,2015.0,"(42.4072107, -71.3824374)",42.4072107,-71.3824374
Town of Sterling ,Small-Scale Payment ,750,2015.0,"(42.4385039, -71.7596157)",42.4385039,-71.7596157
Town of Stoneham ,Small-Scale Payment ,1250,2015.0,"(42.4816758, -71.1001891)",42.4816758,-71.1001891
